学校,科类,专业,最低分
清华大学,理科,理科试验班类（新雅书院）,432
清华大学,理科,计算机类,427
清华大学,理科,理科试验班类（经济、金融与管理）,427
清华大学,理科,建筑类,425
清华大学,理科,工科试验班类（环境、化工与新材料）,425
清华大学,理科,法学（含国际班）,424
清华大学,理科,电子信息类,422
清华大学,理科,临床医学类（协和）,422
清华大学,理科,工科试验班类（能源与电气）,422
清华大学,理科,工科试验班类（机械、航空与动力）,421
清华大学,理科,理科试验班类（数理）,421
清华大学,文科,文科试验班类（经济、金融与管理）,411
北京大学,理科,物理学类,429
北京大学,理科,法学,428
北京大学,理科,工商管理类,428
北京大学,理科,理科试验班类,426
北京大学,理科,数学类,424
北京大学,理科,经济学类,424
北京大学,理科,计算机类,424
北京大学,文科,工商管理类,418
北京大学,文科,法学,414
北京大学,文科,中国语言文学类,412
北京大学,文科,经济学类,412
北京大学,文科,社会学类,411
北京大学,文科,文科试验班,411
北京大学,文科,英语（只招英语考生）（口）,411
北京大学,文科,信息管理与信息系统,410
北京大学,文科,新闻传播学类,410
北京大学,文科,国际政治,409
北京大学,文科,历史学类,409
北京大学,文科,公共管理类,409
中国人民大学,理科,金融学类,413
中国人民大学,理科,法学,410
中国人民大学,理科,经济学类,410
中国人民大学,理科,工商管理类,409
中国人民大学,理科,人力资源管理,407
中国人民大学,理科,理科试验班,407
中国人民大学,理科,社会科学试验班（管理学科类）,406
中国人民大学,文科,法学,404
中国人民大学,文科,金融学类,403
中国人民大学,文科,经济学类,402
中国人民大学,文科,社会学类,401
中国人民大学,文科,工商管理类,401
中国人民大学,文科,人力资源管理,400
中国人民大学,文科,新闻传播学类,400
中国人民大学,文科,人文科学试验班,400
中国人民大学,文科,社会科学试验班（管理学科类）,400
北京交通大学,理科,计算机类,390
北京交通大学,理科,法学,388
北京交通大学,理科,交通运输类,388
北京交通大学,理科,电子信息类（通信与控制）,388
北京交通大学,理科,电气类,387
北京交通大学,理科,理科试验班类,387
北京交通大学,理科,经济管理试验班,386
北京交通大学,理科,土木类,386
北京交通大学,理科,机械类,386
北京交通大学,理科,外国语言文学类（该校要求报考该专业英语成绩不低于80分）,386
北京交通大学,理科,软件工程（该校要求报考该专业外语成绩不低于80分，三年级起学费16000元/年）,386
北京交通大学,文科,经济管理试验班,380
北京交通大学,文科,外国语言文学类（该校要求报考该专业英语成绩不低于80分）（只招英语考生）（口）,379
北京交通大学,文科,法学,378
