学校,编号
清华大学,140
北京大学,31
中国人民大学,46
北京交通大学,38
石河子大学,199
北京理工大学,143
北京科技大学,144
北京化工大学,556
北京邮电大学,48
北京林业大学,43
中国传媒大学,558
北京师范大学,52
南京师范大学,115
北京外国语大学,39
中国地质大学（北京）,830
中国矿业大学（北京）,1006
浙江理工大学,243
华北电力大学,831
华东政法大学,323
燕山大学,599
首都师范大学,589
上海外国语大学,136
东华大学,135
北京工商大学,570
华东理工大学,133
同济大学,73
上海交通大学,125
南京财经大学,164
重庆大学,119
西南大学,934
南京工业大学,171
太原理工大学,139
大连理工大学,138
辽宁大学,50
大连海事大学,33
延边大学,129
南京大学,111
江南大学,86
南京航空航天大学,77
中国科学技术大学,66
安徽大学,67
合肥工业大学,63
厦门大学,102
福州大学,103
南昌大学,108
郑州大学,62
华中科技大学,127
浙江工业大学,242
湖北大学,425
华中农业大学,417
中国地质大学（武汉）,121
湖南大学,44
中南大学,123
湖南师范大学,58
福建农林大学,468
华南理工大学,108
上海师范大学,311
广西大学,96
西南交通大学,51
西南财经大学,101
四川农业大学,100
青岛大学,499
西北大学,37
武汉科技大学,1007
杭州电子科技大学,159
长安大学,36
华侨大学,465
西安电子科技大学,57
兰州大学,97
吉林大学,122
南京农业大学,113
东南大学,109
苏州大学,118
汕头大学,283
东北林业大学,419
东北农业大学,137
南京理工大学,112
对外经贸大学,53
哈尔滨工业大学,34
山东大学,126
西安交通大学,330
中国海洋大学,61
中国药科大学,117
北京体育大学,866
暨南大学,106
复旦大学,132
复旦大学医学部,3427
北京航空航天大学,47
新疆大学,74
南通大学,787
上海大学,76
内蒙古大学,32
广州大学,293
河海大学,116
华中师范大学,420
四川大学,99
贵州大学,935
浙江大学,114
东北师范大学,142
武汉大学,42
