分数段,文科
421,16
420,21
419,24
418,33
417,41
416,47
415,60
414,67
413,80
412,93
411,111
410,122
409,142
408,167
407,198
406,228
405,259
404,295
403,343
402,391
401,435
400,510
399,564
398,619
397,691
396,760
395,850
394,956
393,1065
392,1174
391,1299
390,1429
389,1550
388,1693
387,1858
386,2006
385,2148
384,2304
383,2482
382,2664
381,2845
380,3106
379,3345
378,3622
377,3865
376,4118
375,4400
374,4701
373,4996
372,5320
371,5659
370,5988
369,6311
368,6665
367,7038
366,7445
365,7856
364,8289
363,8727
362,9220
361,9696
360,10154
359,10602
358,11102
357,11600
356,12100
355,12621
354,13138
353,13694
352,14260
351,14819
350,15381
349,15954
348,16498
347,17091
346,17641
345,18249
344,18896
343,19460
342,20051
341,20628
340,21226
339,21841
338,22469
337,23028
336,23601
335,24214
334,24779
333,25361
332,25947
331,26547
330,27200
329,27761
328,28326
327,28935
326,29498
325,30026
324,30594
323,31141
322,31692
321,32248
320,32807
319,33347
318,33906
317,34422
316,34902
315,35383
314,35846
313,36327
312,36827
311,37276
310,37713
309,38157
308,38569
307,38969
306,39347
305,39725
304,40103
303,40499
302,40847
301,41194
300,41530
299,41872
298,42172
297,42449
296,42727
295,43016
294,43300
293,43573
292,43810
291,44048
290,44286
289,44529
288,44744
287,44964
286,45179
285,45347
284,45518
283,45681
282,45858
281,46010
280,46161
279,46284
278,46431
277,46568
276,46680
275,46806
274,46930
