分数段,理科
426,48
425,70
424,92
423,118
422,143
421,175
420,217
419,253
418,318
417,380
416,458
415,530
414,623
413,729
412,866
411,1014
410,1176
409,1334
408,1529
407,1740
406,2023
405,2278
404,2606
403,2897
402,3241
401,3591
400,4003
399,4432
398,4902
397,5387
396,5930
395,6529
394,7128
393,7767
392,8422
391,9133
390,9893
389,10744
388,11550
387,12387
386,13374
385,14326
384,15351
383,16417
382,17575
381,18740
380,19991
379,21260
378,22552
377,23930
376,25355
375,26845
374,28283
373,29861
372,31418
371,33028
370,34611
369,36361
368,38178
367,39940
366,41779
365,43642
364,45554
363,47462
362,49365
361,51296
360,53338
359,55417
358,57444
357,59612
356,61735
355,63843
354,65979
353,68072
352,70249
351,72409
350,74534
349,76652
348,78736
347,80753
346,82798
345,84900
344,86894
343,88911
342,90877
341,92855
340,94732
339,96692
338,98564
337,100395
336,102174
335,104040
334,105776
333,107493
332,109185
331,110843
330,112413
329,113993
328,115472
327,116936
326,118314
325,119724
324,121064
323,122293
322,123531
321,124737
320,125870
319,126930
318,128006
317,129015
316,129965
315,130929
314,131788
313,132574
312,133364
311,134186
310,134967
309,135699
308,136384
307,137033
306,137635
305,138194
304,138718
303,139258
