school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
清华大学,文科试验班类（经济、金融与管理）,14.0,77.0,20.0,37.0,38.0,28.0,37.0,28.39013913315678
北京大学,工商管理类,14.0,77.0,16.0,35.666666666666664,36.0,26.0,35.666666666666664,29.238483012784517
北京大学,文科试验班类,14.0,77.0,16.0,35.666666666666664,36.0,26.0,35.666666666666664,29.238483012784517
北京大学,法学,14.0,77.0,16.0,35.666666666666664,36.0,26.0,35.666666666666664,29.238483012784517
北京大学,经济学类,14.0,77.0,16.0,35.666666666666664,36.0,26.0,35.666666666666664,29.238483012784517
北京大学,中国语言文学类,21.0,77.0,21.0,39.666666666666664,40.0,30.0,39.666666666666664,26.398653164297777
北京大学,新闻传播学类,21.0,77.0,24.0,40.666666666666664,42.0,32.0,40.666666666666664,25.72072229848057
北京大学,国际政治,23.0,77.0,41.0,47.0,54.0,44.0,47.0,22.44994432064365
北京大学,社会学,27.0,27.0,27.0,27.0,37.0,25.0,27.0,0.0
北京大学,考古学,34.0,77.0,41.0,50.666666666666664,55.0,46.0,50.666666666666664,18.83849486792639
北京大学,历史学类,34.0,77.0,33.0,48.0,50.0,41.0,48.0,20.51016008388688
北京大学,公共管理类,34.0,33.5,33.0,33.5,43.0,32.0,33.5,0.408248290463863
中国人民大学,金融学类,64.0,95.0,111.0,90.0,110.0,103.0,90.0,19.510680835549195
中国人民大学,法学,106.0,84.0,93.0,94.33333333333333,103.0,97.0,94.33333333333333,9.030811456096044
中国人民大学,信息资源管理,165.0,77.0,121.0,121.0,131.0,126.0,121.0,35.92584956081995
中国人民大学,人力资源管理,165.0,153.0,142.0,153.33333333333334,157.0,156.0,153.33333333333334,9.392668535736913
中国人民大学,经济学类,165.0,180.0,122.0,155.66666666666666,149.0,148.0,155.66666666666666,24.580932086115496
中国人民大学,社会学类,165.0,132.0,167.0,154.66666666666666,170.0,168.0,154.66666666666666,16.048537489614297
中国人民大学,新闻传播学类,165.0,132.0,167.0,154.66666666666666,170.0,168.0,154.66666666666666,16.048537489614297
中国人民大学,工商管理类,165.0,153.0,142.0,153.33333333333334,157.0,156.0,153.33333333333334,9.392668535736913
中国人民大学,人文科学试验班,165.0,180.0,198.0,181.0,199.0,198.0,181.0,13.490737563232042
中国人民大学,政治学、经济学与哲学（PPE实验班）,165.0,132.0,148.5,148.5,158.0,156.0,148.5,13.47219358530748
北京交通大学,经济管理试验班,1374.0,2016.0,1299.0,1563.0,1445.0,1446.0,1563.0,321.77942755869276
北京交通大学,法学,1941.0,2016.0,1550.0,1835.6666666666667,1708.0,1709.0,1835.6666666666667,204.30423936429273
北京交通大学,文科试验班类（语言与传播）,2096.0,2096.0,2096.0,2096.0,2093.0,2093.0,2096.0,0.0
北京理工大学,社会科学试验班,1474.0,1259.0,1174.0,1302.3333333333333,1247.0,1237.0,1302.3333333333333,126.24931242937083
北京理工大学,外国语言文学类（英语、日语、西班牙语、德语）,1594.0,1594.0,1594.0,1594.0,1595.0,1581.0,1594.0,0.0
北京科技大学,德语,2096.0,2768.0,2432.0,2432.0,2427.0,2440.0,2432.0,274.34285119171597
北京科技大学,工商管理类（一年后可分流至工商管理、会计学）,2624.0,1838.0,2231.0,2231.0,2227.0,2233.0,2231.0,320.88315630459635
北京科技大学,经济与贸易类,2839.0,3637.0,3238.0,3238.0,3227.0,3258.0,3238.0,325.78213579016267
北京科技大学,英语,3776.0,3637.0,3706.5,3706.5,3693.0,3719.0,3706.5,56.74651237447696
北京科技大学,人文科学试验班,3776.0,3637.0,3706.5,3706.5,3693.0,3719.0,3706.5,56.74651237447696
北京科技大学,日语,4009.0,3894.0,3951.5,3951.5,3938.0,3957.0,3951.5,46.94855340334424
北京化工大学,国际经济与贸易,5875.0,4731.0,5320.0,5308.666666666667,5303.0,5288.0,5308.666666666667,467.10479433301566
北京化工大学,法学,6276.0,5809.0,5320.0,5801.666666666667,5610.0,5531.0,5801.666666666667,390.31981189219124
北京化工大学,英语,6276.0,5809.0,5320.0,5801.666666666667,5610.0,5531.0,5801.666666666667,390.31981189219124
北京林业大学,会计学,2839.0,2839.0,2839.0,2839.0,2830.0,2857.0,2839.0,0.0
