school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
清华大学,计算机类,20.0,106.0,48.0,58.0,78.0,39.0,58.0,35.81433604950212
清华大学,理科试验班类（新雅书院）,34.0,106.0,37.0,59.0,77.0,33.0,59.0,33.25657829663178
清华大学,理科试验班类（经济、金融与管理）,34.0,106.0,37.0,59.0,77.0,33.0,59.0,33.25657829663178
清华大学,理科试验班类（化生）,43.0,106.0,74.5,74.5,97.0,64.0,74.5,25.71964229922337
清华大学,临床医学（协和）,43.0,43.0,43.0,43.0,65.0,29.0,43.0,0.0
清华大学,建筑类,55.0,106.0,70.0,77.0,99.0,63.0,77.0,21.400934559032695
清华大学,工科试验班类（机械、航空与动力）,55.0,106.0,83.0,81.33333333333333,105.0,73.0,81.33333333333333,20.853989759489405
清华大学,工科试验班类（能源）,55.0,106.0,80.5,80.5,103.0,71.0,80.5,20.820662813657012
清华大学,电子信息类,62.0,106.0,70.0,79.33333333333333,101.0,64.0,79.33333333333333,19.136933459209764
清华大学,工科试验班类（自动化与工业工程）,62.0,106.0,84.0,84.0,107.0,75.0,84.0,17.962924780409974
清华大学,法学（含国际班）,62.0,106.0,55.0,74.33333333333333,94.0,52.0,74.33333333333333,22.57333727111602
清华大学,工科试验班类（环境、化工与新材料）,76.0,106.0,45.0,75.66666666666667,93.0,46.0,75.66666666666667,24.904261125803796
清华大学,理科试验班类（数理）,76.0,106.0,83.0,88.33333333333333,111.0,77.0,88.33333333333333,12.814921857827391
北京大学,工商管理类,12.0,106.0,48.0,55.333333333333336,76.0,38.0,55.333333333333336,38.724095283886946
北京大学,数学类,26.0,106.0,70.0,67.33333333333333,90.0,58.0,67.33333333333333,32.71425105702746
北京大学,经济学类,26.0,106.0,48.0,60.0,80.0,40.0,60.0,33.7441352929167
北京大学,物理学类,43.0,106.0,48.0,65.66666666666667,85.0,43.0,65.66666666666667,28.592928418676454
北京大学,电子信息类,55.0,106.0,70.0,77.0,99.0,63.0,77.0,21.400934559032695
北京大学,理科试验班类,55.0,106.0,48.0,69.66666666666667,88.0,45.0,69.66666666666667,25.84999462712173
中国人民大学,金融学类,254.0,244.0,318.0,272.0,310.0,317.0,272.0,32.78210894171799
中国人民大学,法学,357.0,244.0,318.0,306.3333333333333,339.0,333.0,306.3333333333333,46.8638690487909
中国人民大学,经济学类,391.0,349.0,380.0,373.3333333333333,408.0,404.0,373.3333333333333,17.78263822446552
中国人民大学,农业经济管理类,524.0,729.0,626.5,626.5,667.0,678.0,626.5,83.69089954509192
中国人民大学,统计学类,524.0,554.0,539.0,539.0,577.0,583.0,539.0,12.24744871391589
中国人民大学,人力资源管理,605.0,632.0,623.0,620.0,661.0,673.0,620.0,11.224972160321824
中国人民大学,政治学、经济学与哲学（PPE实验班）,605.0,244.0,424.5,424.5,459.0,456.0,424.5,147.37763285745456
中国人民大学,社会学类,778.0,824.0,318.0,640.0,619.0,496.0,640.0,228.46152119485387
中国人民大学,工商管理类,778.0,632.0,623.0,677.6666666666666,709.0,699.0,677.6666666666666,71.04145894397784
中国人民大学,理科试验班（信息与数学）,858.0,729.0,793.5,793.5,839.0,859.0,793.5,52.664029469838326
中国人民大学,理科试验班（物理、化学与心理学）,968.0,824.0,896.0,896.0,944.0,969.0,896.0,58.787753826796276
北京交通大学,电子信息类（通信与控制）,7306.0,8194.0,6927.0,7475.666666666667,7250.0,7149.0,7475.666666666667,530.9816904146089
北京交通大学,经济管理试验班,7883.0,6969.0,7767.0,7539.666666666667,7672.0,7647.0,7539.666666666667,406.29163034560395
北京交通大学,理科试验班类,7883.0,7556.0,8422.0,7953.666666666667,8200.0,8193.0,7953.666666666667,357.0567959800731
北京交通大学,机械类,7883.0,8194.0,8422.0,8166.333333333333,8302.0,8282.0,8166.333333333333,220.91375893974757
北京交通大学,法学,8479.0,7556.0,7767.0,7934.0,7868.0,7813.0,7934.0,394.88310506612794
北京交通大学,软件工程,8479.0,6385.0,7767.0,7543.666666666667,7674.0,7649.0,7543.666666666667,869.3358895667939
北京交通大学,计算机类,8479.0,6385.0,7128.0,7330.666666666667,7264.0,7198.0,7330.666666666667,866.8003743013088
北京交通大学,土木类,8479.0,8194.0,9133.0,8602.0,8872.0,8870.0,8602.0,393.0877764571165
北京交通大学,电气类,8479.0,8194.0,8422.0,8365.0,8397.0,8366.0,8365.0,123.13407326974935
北京交通大学,交通运输类,8479.0,7556.0,7767.0,7934.0,7868.0,7813.0,7934.0,394.88310506612794
北京交通大学,文科试验班类（语言与传播）,8479.0,8479.0,8479.0,8479.0,8481.0,8446.0,8479.0,0.0
北京理工大学,电子信息类（实验班）,3565.0,3565.0,3565.0,3565.0,3642.0,3657.0,3565.0,0.0
北京理工大学,理科试验班（徐特立英才班）,3880.0,3300.0,3590.0,3590.0,3667.0,3681.0,3590.0,236.78400846904054
北京理工大学,理科试验班（数学菁英班）,3880.0,3880.0,3880.0,3880.0,3956.0,3962.0,3880.0,0.0
北京理工大学,自动化类,4221.0,4221.0,4221.0,4221.0,4295.0,4291.0,4221.0,0.0
北京理工大学,电子信息类,4582.0,4582.0,4582.0,4582.0,4653.0,4639.0,4582.0,0.0
北京理工大学,经济管理试验班,4582.0,4011.0,4003.0,4198.666666666667,4202.0,4153.0,4198.666666666667,271.07727475553696
北京理工大学,机械类,4582.0,4582.0,4582.0,4582.0,4653.0,4639.0,4582.0,0.0
北京理工大学,生物医学工程类,4582.0,4582.0,4582.0,4582.0,4653.0,4639.0,4582.0,0.0
北京理工大学,理科试验班（物理菁英班）,4582.0,4582.0,4582.0,4582.0,4653.0,4639.0,4582.0,0.0
北京理工大学,光电信息科学与工程,4948.0,4948.0,4948.0,4948.0,5015.0,4992.0,4948.0,0.0
北京理工大学,航空航天类,4948.0,4948.0,4948.0,4948.0,5015.0,4992.0,4948.0,0.0
北京理工大学,材料类,4948.0,4948.0,4948.0,4948.0,5015.0,4992.0,4948.0,0.0
北京理工大学,兵器类,4948.0,4948.0,4948.0,4948.0,5015.0,4992.0,4948.0,0.0
北京理工大学,理科试验班（化学化工菁英班）,4948.0,4948.0,4948.0,4948.0,5015.0,4992.0,4948.0,0.0
北京理工大学,计算机类（计算机科学与技术、物联网工程、软件工程）,4948.0,4948.0,4948.0,4948.0,5015.0,4992.0,4948.0,0.0
北京科技大学,理科试验班,9034.0,8891.0,7767.0,8564.0,8187.0,8085.0,8564.0,566.5797972630746
北京科技大学,应用物理学,9697.0,11183.0,9893.0,10257.666666666666,10031.0,10004.0,10257.666666666666,659.1840073572444
北京科技大学,工商管理类（一年后可分流至工商管理、会计学）,9697.0,10394.0,10045.5,10045.5,10010.0,10001.0,10045.5,284.5490584533125
北京科技大学,计算机类（一年后可分流至计算机科学与技术、信息安全、物联网工程）,9697.0,9682.5,9668.0,9682.5,9648.0,9632.0,9682.5,11.839200423452027
北京科技大学,材料科学与工程,10376.0,10394.0,10744.0,10504.666666666666,10585.0,10594.0,10504.666666666666,169.3936900307158
北京科技大学,冶金工程,10376.0,11183.0,10744.0,10767.666666666666,10703.0,10705.0,10767.666666666666,329.88112336954896
北京科技大学,生物技术,10376.0,10394.0,10744.0,10504.666666666666,10585.0,10594.0,10504.666666666666,169.3936900307158
北京科技大学,数学类（一年后可分流至数学与应用数学、信息与计算科学）,10376.0,10394.0,10426.0,10398.666666666666,10369.0,10367.0,10398.666666666666,20.677416559027765
北京科技大学,自动化类（一年后可分流至自动化等专业）,10376.0,10376.0,10376.0,10376.0,10333.0,10329.0,10376.0,0.0
北京科技大学,能源与动力工程,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
北京科技大学,通信工程,11112.0,10394.0,9133.0,10213.0,9642.0,9552.0,10213.0,817.99796250765
北京科技大学,土木工程,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
北京科技大学,环境工程,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
北京科技大学,应用化学,11112.0,10394.0,10744.0,10750.0,10695.0,10697.0,10750.0,293.15297485556357
北京科技大学,安全工程,11112.0,10394.0,9133.0,10213.0,9642.0,9552.0,10213.0,817.99796250765
北京科技大学,建筑环境与能源应用工程,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
北京科技大学,工科试验班类（卓越计划）,11112.0,10394.0,10753.0,10753.0,10701.0,10704.0,10753.0,293.1222725530537
北京科技大学,管理科学与工程类（一年后可分流至信息管理与信息系统、工程管理）,11112.0,10394.0,10753.0,10753.0,10701.0,10704.0,10753.0,293.1222725530537
北京科技大学,矿业类（一年后可分流至采矿工程、矿物加工工程）,11112.0,11183.0,10426.0,10907.0,10604.0,10581.0,10907.0,341.3512365096495
北京科技大学,机械类（一年后可分流至机械工程、车辆工程、工业设计等专业）,11112.0,11183.0,11147.5,11147.5,11086.0,11095.0,11147.5,28.985628622934275
北京化工大学,工科试验班（化学工程与工艺英才班）,11842.0,11842.0,11842.0,11842.0,11765.0,11784.0,11842.0,0.0
北京化工大学,工科试验班（生物工程高精尖班）,15347.0,15347.0,15347.0,15347.0,15208.0,15269.0,15347.0,0.0
北京化工大学,工科试验班（高分子材料与工程精英班）,15347.0,15347.0,15347.0,15347.0,15208.0,15269.0,15347.0,0.0
北京化工大学,化学工程与工艺,20464.0,20464.0,20464.0,20464.0,20308.0,20402.0,20464.0,0.0
北京化工大学,应用化学,21596.0,21596.0,21596.0,21596.0,21450.0,21513.0,21596.0,0.0
北京化工大学,高分子材料与工程,21596.0,21596.0,21596.0,21596.0,21450.0,21513.0,21596.0,0.0
北京化工大学,计算机科学与技术,21596.0,21596.0,21596.0,21596.0,21450.0,21513.0,21596.0,0.0
北京化工大学,自动化,22781.0,22781.0,22781.0,22781.0,22650.0,22658.0,22781.0,0.0
北京化工大学,电子科学与技术,22781.0,22922.0,21260.0,22321.0,21774.0,21725.0,22321.0,752.4453468525139
北京化工大学,能源化学工程,22781.0,22781.0,22781.0,22781.0,22650.0,22658.0,22781.0,0.0
北京化工大学,理科试验班（化学优培计划）,22781.0,19212.0,20996.5,20996.5,20845.0,20927.0,20996.5,1457.0381486655272
北京化工大学,信息管理与信息系统（大数据管理）,22781.0,22781.0,22781.0,22781.0,22650.0,22658.0,22781.0,0.0
北京化工大学,环境工程,23967.0,22922.0,25355.0,24081.333333333332,24472.0,24567.0,24081.333333333332,996.5528363090216
北京化工大学,制药工程,23967.0,21640.0,25355.0,23654.0,24237.0,24379.0,23654.0,1532.706321076111
北京化工大学,化学,23967.0,23967.0,23967.0,23967.0,23855.0,23789.0,23967.0,0.0
北京化工大学,材料科学与工程,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京化工大学,测控技术与仪器,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京化工大学,功能材料,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京化工大学,生物工程类（含生物工程等3个专业）,25254.0,22922.0,24088.0,24088.0,23978.0,23904.0,24088.0,952.0350133617285
北京化工大学,数学类（含数学与应用数学、信息与计算科学等3个专业）,25254.0,22922.0,24088.0,24088.0,23978.0,23904.0,24088.0,952.0350133617285
北京化工大学,电子信息类（电子信息工程、通信工程）,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京化工大学,机械类（含过程装备与控制工程、机械设计制造及其自动化等3个专业）,25254.0,25254.0,25254.0,25254.0,25168.0,25010.0,25254.0,0.0
北京邮电大学,电子信息类（电子工程）,5409.0,5409.0,5409.0,5409.0,5470.0,5438.0,5409.0,0.0
北京邮电大学,科技与创意设计试验班,5828.0,5365.0,4902.0,5365.0,5243.0,5133.0,5365.0,378.03791696953715
北京邮电大学,管理科学与工程类（工程管理、信息管理与信息系统）,5828.0,4851.0,5339.5,5339.5,5402.0,5370.0,5339.5,398.85857978319416
北京邮电大学,机械工程,6301.0,5601.5,4902.0,5601.5,5382.0,5234.0,5601.5,571.1393583589444
北京邮电大学,自动化,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
北京邮电大学,邮政工程,6301.0,6301.0,6301.0,6301.0,6348.0,6304.0,6301.0,0.0
北京邮电大学,电磁场与无线技术,6301.0,4851.0,5576.0,5576.0,5635.0,5599.0,5576.0,591.9600211726014
北京邮电大学,计算机类（计算机科学与技术、网络工程、智能科学与技术、数据科学与大数据技术）,6301.0,5336.0,5818.5,5818.5,5874.0,5834.0,5818.5,393.9596002976278
