,大职业,子职业,薪资
0,中学教师,初中物理教师,7140 ~ 10090元/月
1,中学教师,初中化学教师,6820 ~ 10460元/月
2,中学教师,初中数学教师,6960 ~ 11200元/月
3,中学教师,高中数学教师,8040 ~ 11910元/月
4,中学教师,初中语文教师,7120 ~ 11300元/月
5,中学教师,初中政治教师,6820 ~ 9670元/月
6,中学教师,初中英语教师,6890 ~ 11350元/月
7,中学教师,高中英语教师,7770 ~ 12290元/月
8,中学教师,初中地理教师,6550 ~ 11610元/月
9,精算师,实习律师,3000 ~ 5960元/月
10,高等教育教师,小学数学教师,6300 ~ 10020元/月
11,高等教育教师,招生顾问,6910 ~ 8650元/月
12,高等教育教师,英语教师,6690 ~ 11230元/月
13,高等教育教师,幼教,4660 ~ 9480元/月
14,高等教育教师,小学音乐教师,5710 ~ 9280元/月
15,高等教育教师,小学语文教师,6460 ~ 11210元/月
16,高等教育教师,教务主任,6950 ~ 9720元/月
17,高等教育教师,数学教师,7070 ~ 10980元/月
18,律师,法务专员,6060 ~ 12500元/月
19,律师,法务经理,12570 ~ 20540元/月
20,律师,法务总监,16410 ~ 33240元/月
21,律师,法务主管,8300 ~ 13250元/月
22,律师,法务,5870 ~ 26750元/月
23,律师,律师,4760 ~ 19240元/月
24,律师,律师助理,4830 ~ 16250元/月
25,律师,实习律师,3000 ~ 5960元/月
26,律师,授薪律师,6400 ~ 14490元/月
27,律师,执业律师,5400 ~ 18250元/月
28,小学教师,初中物理教师,7140 ~ 10090元/月
29,小学教师,初中数学教师,6960 ~ 11200元/月
30,小学教师,初中语文教师,7120 ~ 11300元/月
31,小学教师,初中生物教师,6690 ~ 10890元/月
32,小学教师,小学数学教师,6300 ~ 10020元/月
33,小学教师,初中英语教师,6890 ~ 11350元/月
34,小学教师,小学英语教师,6000 ~ 13440元/月
35,小学教师,小学语文教师,6460 ~ 11210元/月
36,小学教师,小学体育教师,5360 ~ 10780元/月
37,小学教师,小学教师,4780 ~ 6670元/月
38,计算机软件技术人员,项目经理,6330 ~ 17590元/月
39,计算机软件技术人员,销售经理,7960 ~ 15160元/月
40,计算机软件技术人员,软件工程师,7100 ~ 17110元/月
41,计算机软件技术人员,软件测试工程师,5920 ~ 14170元/月
42,计算机软件技术人员,软件开发工程师,7170 ~ 17380元/月
43,计算机软件技术人员,web前端开发工程师,6280 ~ 18480元/月
44,计算机软件技术人员,android开发工程师,8820 ~ 21920元/月
45,心理医师,口腔医生,7460 ~ 17030元/月
46,心理医师,康复医师,6630 ~ 10590元/月
47,心理医师,护士,4580 ~ 8380元/月
48,心理医师,全科医生,9030 ~ 13070元/月
49,心理医师,内科医生,7950 ~ 9900元/月
50,心理医师,儿科医生,8690 ~ 16430元/月
51,心理医师,健康管理师,6100 ~ 9500元/月
52,心理医师,校医,4710 ~ 6350元/月
53,心理医师,病房护士,4550 ~ 13110元/月
54,会计人员,财务经理,7050 ~ 13150元/月
55,会计人员,会计,3800 ~ 7040元/月
56,会计人员,出纳,4170 ~ 4920元/月
57,会计人员,财务主管,4790 ~ 8570元/月
58,会计人员,总账会计,5750 ~ 8530元/月
59,会计人员,财务总监,8350 ~ 22860元/月
60,会计人员,会计主管,5560 ~ 7660元/月
61,会计人员,主办会计,5000 ~ 6870元/月
62,会计人员,出纳员,4190 ~ 4920元/月
63,会计人员,财务出纳,4400 ~ 5560元/月
64,审计人员,项目经理,6330 ~ 17590元/月
65,审计人员,财务经理,7050 ~ 13150元/月
66,审计人员,会计,3800 ~ 7040元/月
67,审计人员,财务主管,4790 ~ 8570元/月
68,审计人员,总账会计,5750 ~ 8530元/月
69,审计人员,财务总监,8350 ~ 22860元/月
70,审计人员,会计主管,5560 ~ 7660元/月
71,审计人员,审计专员,6010 ~ 8170元/月
72,审计人员,审计经理,9790 ~ 17910元/月
73,审计人员,审计主管,6000 ~ 10960元/月
